lambdaBS,lambdaSC,numCPE,lambdaUE,deployRange,r_min_cell,r_min_FWA,num_rep,rep_gain,GroupCount,mean_max_FWA,std_max_FWA,median_max_FWA,mean_Band,std_Band,median_Band,mean_Band_FWA,std_Band_FWA,median_Band_FWA,mean_cell_se,std_cell_se,median_cell_se,mean_FWA_se,std_FWA_se,median_FWA_se
5,0,50,1000,200,35000000,25000000,1,10,99,100,0,100,80000000,0,80000000,78110811.3816425,52931.2474266523,78115034.686385,1811.53662672727,33.0702632343352,1810.908902,3.539394,0.365466352942737,3.554916
5,0,50,1000,200,35000000,50000000,1,10,99,100,0,100,80000000,0,80000000,78110811.3816425,52931.2474266523,78115034.686385,1811.53662672727,33.0702632343352,1810.908902,3.42674046464646,0.367825596582666,3.420543
5,0,50,1000,200,35000000,75000000,1,10,99,100,0,100,80000000,0,80000000,78110811.3816425,52931.2474266523,78115034.686385,1811.53662672727,33.0702632343352,1810.908902,3.3134808989899,0.358625933353947,3.308456
5,0,50,1000,200,35000000,100000000,1,10,99,99.6060606060606,1.79465295274023,100,80000000,0,80000000,78110811.3816425,52931.2474266523,78115034.686385,1811.53662672727,33.0702632343352,1810.908902,3.25608111111111,0.333248348103593,3.304837
5,0,50,1000,200,35000000,125000000,1,10,99,92.8383838383838,7.54538251922119,95,80000000,0,80000000,78110811.3816425,52931.2474266523,78115034.686385,1811.53662672727,33.0702632343352,1810.908902,3.38583948484848,0.244806284684665,3.404368
5,0,50,1000,200,35000000,150000000,1,10,99,75.1111111111111,11.5342337739806,76,80000000,0,80000000,78110811.3816425,52931.2474266523,78115034.686385,1811.53662672727,33.0702632343352,1810.908902,4.12406480808081,0.385520332345082,4.02119
5,0,50,1000,200,35000000,175000000,1,10,99,56.979797979798,12.2332599473061,56,80000000,0,80000000,78110811.3816425,52931.2474266523,78115034.686385,1811.53662672727,33.0702632343352,1810.908902,5.37679527272727,0.70973366975596,5.247987
5,0,50,1000,200,35000000,200000000,1,10,99,42.5858585858586,10.7114378129462,42,80000000,0,80000000,78110811.3816425,52931.2474266523,78115034.686385,1811.53662672727,33.0702632343352,1810.908902,7.06330143434343,0.997548521690827,6.966465
5,0,50,1000,200,35000000,225000000,1,10,99,33.1515151515151,8.08799013448857,33,80000000,0,80000000,78110811.3816425,52931.2474266523,78115034.686385,1811.53662672727,33.0702632343352,1810.908902,8.87540149494949,1.31126190788414,8.744845
5,0,50,1000,200,35000000,250000000,1,10,99,26.3030303030303,6.12698038863728,26,80000000,0,80000000,78110811.3816425,52931.2474266523,78115034.686385,1811.53662672727,33.0702632343352,1810.908902,10.6206482929293,1.60140854824082,10.289474
5,0,50,1000,200,35000000,275000000,1,10,99,21.6565656565657,4.47706540219631,22,80000000,0,80000000,78110811.3816425,52931.2474266523,78115034.686385,1811.53662672727,33.0702632343352,1810.908902,12.3361141515152,1.77330016738783,11.824783
5,0,50,1000,200,35000000,300000000,1,10,99,18.040404040404,4.12785261147056,18,80000000,0,80000000,78110811.3816425,52931.2474266523,78115034.686385,1811.53662672727,33.0702632343352,1810.908902,14.1184341717172,2.36423284125851,13.720632
5,0,50,1000,200,35000000,300000000,1,20,99,18.0707070707071,4.16313393837227,18,80000000,0,80000000,78209284.9036372,46716.965850821,78207762.78391,1895.02760089899,32.8868160869877,1891.157452,14.0757335959596,2.35055816256583,13.548324
