lambdaBS,lambdaSC,numCPE,lambdaUE,deployRange,r_min_cell,r_min_FWA,num_rep,rep_gain,GroupCount,mean_init_FWA,std_init_FWA,median_init_FWA,mean_max_FWA,std_max_FWA,median_max_FWA,mean_Band,std_Band,median_Band,mean_Band_FWA,std_Band_FWA,median_Band_FWA,mean_cell_se,std_cell_se,median_cell_se,mean_FWA_se,std_FWA_se,median_FWA_se
5,0,50,1000,200,35000000,25000000,2,20,99,91.9494949494949,6.97133158213232,94,96.6868686868687,5.40152371670927,100,80000000,0,80000000,63278282.7835643,120901.683435518,63290269.410739,184.004063252525,0.563347826511428,184.017594,1.3407586969697,0.13911704053,1.357212
5,0,50,1000,200,35000000,50000000,2,20,99,34.6060606060606,10.0841542518885,33,40.2828282828283,11.3632422112637,42,80000000,0,80000000,63278282.7835643,120901.683435518,63290269.410739,184.004063252525,0.563347826511428,184.017594,3.37230606060606,0.81592758792822,3.235218
5,0,50,1000,200,35000000,75000000,2,20,99,18.0909090909091,4.37779860131688,18,20.2828282828283,4.77886589748349,21,80000000,0,80000000,63278282.7835643,120901.683435518,63290269.410739,184.004063252525,0.563347826511428,184.017594,6.22418060606061,1.18652161230949,5.928662
5,0,50,1000,200,35000000,100000000,2,20,99,13.7878787878788,2.83301500630936,14,15.0808080808081,3.20610631571836,16,80000000,0,80000000,63278282.7835643,120901.683435518,63290269.410739,184.004063252525,0.563347826511428,184.017594,7.96410483838384,1.29464574113794,7.723105
5,0,50,1000,200,35000000,125000000,2,20,99,11.1515151515152,2.15881503949924,11,12.1616161616162,2.6638435891567,13,80000000,0,80000000,63278282.7835643,120901.683435518,63290269.410739,184.004063252525,0.563347826511428,184.017594,9.58110275757576,1.86190967415872,9.232625
5,0,50,1000,200,35000000,150000000,2,20,99,9.92929292929293,2.11048173847084,10,10.3737373737374,2.43941218490739,11,80000000,0,80000000,63278282.7835643,120901.683435518,63290269.410739,184.004063252525,0.563347826511428,184.017594,10.9785106161616,2.29903998820119,10.521675
5,0,50,1000,200,35000000,175000000,2,20,99,8.7979797979798,1.96904513261672,9,9.17171717171717,2.23168465715653,9,80000000,0,80000000,63278282.7835643,120901.683435518,63290269.410739,184.004063252525,0.563347826511428,184.017594,12.0653583838384,2.64753468151882,11.905512
5,0,50,1000,200,35000000,200000000,2,20,99,7.94949494949495,1.74597927246351,8,8.17171717171717,2.03560352601146,8,80000000,0,80000000,63278282.7835643,120901.683435518,63290269.410739,184.004063252525,0.563347826511428,184.017594,13.1293633030303,3.02837641259138,12.716853
5,0,50,1000,200,35000000,225000000,2,20,99,7.24242424242424,1.59777210381607,7,7.43434343434343,1.88529008303121,7,80000000,0,80000000,63278282.7835643,120901.683435518,63290269.410739,184.004063252525,0.563347826511428,184.017594,14.2747753535354,3.45964863334246,13.984484
5,0,50,1000,200,35000000,250000000,2,20,99,6.68686868686869,1.59493115868625,7,6.80808080808081,1.95707386571187,7,80000000,0,80000000,63278282.7835643,120901.683435518,63290269.410739,184.004063252525,0.563347826511428,184.017594,15.4694792323232,4.5490014522276,14.413377
5,0,50,1000,200,35000000,275000000,2,20,99,6.3030303030303,1.52164348216902,6,6.28282828282828,1.85186284611592,6,80000000,0,80000000,63278282.7835643,120901.683435518,63290269.410739,184.004063252525,0.563347826511428,184.017594,16.547098959596,5.04406680272917,15.244753
5,0,50,1000,200,35000000,300000000,2,20,99,5.92929292929293,1.47255522229375,6,5.82828282828283,1.69657761174115,6,80000000,0,80000000,63278282.7835643,120901.683435518,63290269.410739,184.004063252525,0.563347826511428,184.017594,17.7395874040404,5.31752378733015,16.926617
