lambdaBS,lambdaSC,numCPE,lambdaUE,deployRange,r_min_cell,r_min_FWA,GroupCount,mean_max_FWA,std_max_FWA,median_max_FWA,mean_Band,std_Band,median_Band,mean_Band_FWA,std_Band_FWA,median_Band_FWA,mean_cell_se,std_cell_se,median_cell_se,mean_FWA_se,std_FWA_se,median_FWA_se
5,0,50,200,200,35000000,25000000,99,99.8383838383838,0.369971612454052,100,100000000,0,100000000,99161121.5199055,14541.5507387869,99162273.736949,800.487748565657,10.4496048729719,800.531604,2.02374215151515,1.38812187109534,1.534915
5,0,50,200,200,35000000,50000000,99,97.6868686868687,5.11629343003045,100,100000000,0,100000000,99161121.5199055,14541.5507387869,99162273.736949,800.487748565657,10.4496048729719,800.531604,1.50966915151515,0.26356882207466,1.47591
5,0,50,200,200,35000000,75000000,99,71.3232323232323,13.2309379885827,73,100000000,0,100000000,99161121.5199055,14541.5507387869,99162273.736949,800.487748565657,10.4496048729719,800.531604,1.97161128282828,0.266232816525198,1.90593
5,0,50,200,200,35000000,100000000,99,43.2828282828283,12.3272060194402,42,100000000,0,100000000,99161121.5199055,14541.5507387869,99162273.736949,800.487748565657,10.4496048729719,800.531604,3.28487964646465,0.648948013514389,3.244117
5,0,50,200,200,35000000,125000000,99,29.4545454545455,8.04866921091868,29,100000000,0,100000000,99161121.5199055,14541.5507387869,99162273.736949,800.487748565657,10.4496048729719,800.531604,4.67948409090909,0.836813942178333,4.584385
5,0,50,200,200,35000000,150000000,99,22.4343434343434,6.18946045612961,23,100000000,0,100000000,99161121.5199055,14541.5507387869,99162273.736949,800.487748565657,10.4496048729719,800.531604,5.9573641010101,1.08349872055299,5.778057
5,0,50,200,200,35000000,175000000,99,18.1515151515152,4.1854062206566,19,100000000,0,100000000,99161121.5199055,14541.5507387869,99162273.736949,800.487748565657,10.4496048729719,800.531604,7.07948597979798,1.20752761741312,6.877376
5,0,50,200,200,35000000,200000000,99,15.2727272727273,3.95076376449163,16,100000000,0,100000000,99161121.5199055,14541.5507387869,99162273.736949,800.487748565657,10.4496048729719,800.531604,8.11833021212121,1.64076288226801,7.80585
5,0,50,200,200,35000000,225000000,99,13.4848484848485,3.48279630898365,14,100000000,0,100000000,99161121.5199055,14541.5507387869,99162273.736949,800.487748565657,10.4496048729719,800.531604,8.98590015151515,1.96817017884246,8.719295
5,0,50,200,200,35000000,250000000,99,11.7777777777778,3.38229349658662,12,100000000,0,100000000,99161121.5199055,14541.5507387869,99162273.736949,800.487748565657,10.4496048729719,800.531604,10.1405354040404,2.93499391454727,9.318005
5,0,50,200,200,35000000,275000000,99,10.4242424242424,3.14315228838466,11,100000000,0,100000000,99161121.5199055,14541.5507387869,99162273.736949,800.487748565657,10.4496048729719,800.531604,11.1300308686869,3.15660557509104,10.26298
5,0,50,200,200,35000000,300000000,99,9.36363636363636,2.81198072922297,10,100000000,0,100000000,99161121.5199055,14541.5507387869,99162273.736949,800.487748565657,10.4496048729719,800.531604,12.4129575656566,4.28560360929311,11.341689
5,0,50,400,200,35000000,25000000,99,99.7272727272727,0.491108322108806,100,100000000,0,100000000,99159318.6716782,11976.8551007503,99159002.840441,1509.23750542424,15.216553982593,1510.452381,2.4099658989899,1.79824498527974,1.524432
5,0,50,400,200,35000000,50000000,99,96.6767676767677,4.67696980836228,99,100000000,0,100000000,99159318.6716782,11976.8551007503,99159002.840441,1509.23750542424,15.216553982593,1510.452381,1.53688117171717,0.331369332148421,1.467153
5,0,50,400,200,35000000,75000000,99,69.1010101010101,13.1121496466842,71,100000000,0,100000000,99159318.6716782,11976.8551007503,99159002.840441,1509.23750542424,15.216553982593,1510.452381,2.03349097979798,0.275731811447393,1.979509
5,0,50,400,200,35000000,100000000,99,42.1616161616162,11.3979116156471,44,100000000,0,100000000,99159318.6716782,11976.8551007503,99159002.840441,1509.23750542424,15.216553982593,1510.452381,3.40482639393939,0.749766206551488,3.265535
5,0,50,400,200,35000000,125000000,99,28.7171717171717,7.06679560214226,30,100000000,0,100000000,99159318.6716782,11976.8551007503,99159002.840441,1509.23750542424,15.216553982593,1510.452381,4.80621544444444,0.881809420881596,4.632077
5,0,50,400,200,35000000,150000000,99,21.9090909090909,5.0164848842284,22,100000000,0,100000000,99159318.6716782,11976.8551007503,99159002.840441,1509.23750542424,15.216553982593,1510.452381,6.00341433333333,0.979167894101415,5.823358
5,0,50,400,200,35000000,175000000,99,18.1919191919192,4.35814219845737,18,100000000,0,100000000,99159318.6716782,11976.8551007503,99159002.840441,1509.23750542424,15.216553982593,1510.452381,7.00752093939394,1.26359115385179,6.663695
5,0,50,400,200,35000000,200000000,99,15.1313131313131,3.64956375544117,15,100000000,0,100000000,99159318.6716782,11976.8551007503,99159002.840441,1509.23750542424,15.216553982593,1510.452381,8.07988680808081,1.28403572636506,7.875363
5,0,50,400,200,35000000,225000000,99,13.1919191919192,3.31870631198968,13,100000000,0,100000000,99159318.6716782,11976.8551007503,99159002.840441,1509.23750542424,15.216553982593,1510.452381,9.03974845454545,1.7468274495984,8.681538
