lambdaBS,lambdaSC,numCPE,lambdaUE,deployRange,r_min_cell,r_min_FWA,GroupCount,mean_max_FWA,std_max_FWA,median_max_FWA,mean_Band,std_Band,median_Band,mean_Band_FWA,std_Band_FWA,median_Band_FWA,mean_cell_se,std_cell_se,median_cell_se,mean_FWA_se,std_FWA_se,median_FWA_se
5,0,50,600,200,35000000,275000000,1,6,0,6,100000000,0,100000000,77780470.85492,0,77780470.85492,84.187211,0,84.187211,16.284767,0,16.284767
5,0,50,600,200,35000000,300000000,1,5,0,5,100000000,0,100000000,77780470.85492,0,77780470.85492,84.187211,0,84.187211,18.203463,0,18.203463
5,0,50,800,200,35000000,25000000,1,0,0,0,100000000,0,100000000,0,0,0,82.14161,0,82.14161,NaN,NaN,NaN
5,0,50,800,200,35000000,50000000,1,0,0,0,100000000,0,100000000,0,0,0,82.14161,0,82.14161,NaN,NaN,NaN
5,0,50,800,200,35000000,75000000,1,0,0,0,100000000,0,100000000,0,0,0,82.14161,0,82.14161,NaN,NaN,NaN
5,0,50,800,200,35000000,100000000,1,0,0,0,100000000,0,100000000,0,0,0,82.14161,0,82.14161,NaN,NaN,NaN
5,0,50,800,200,35000000,125000000,1,0,0,0,100000000,0,100000000,0,0,0,82.14161,0,82.14161,NaN,NaN,NaN
5,0,50,800,200,35000000,150000000,1,0,0,0,100000000,0,100000000,0,0,0,82.14161,0,82.14161,NaN,NaN,NaN
5,0,50,800,200,35000000,175000000,1,0,0,0,100000000,0,100000000,0,0,0,82.14161,0,82.14161,NaN,NaN,NaN
5,0,50,800,200,35000000,200000000,1,0,0,0,100000000,0,100000000,0,0,0,82.14161,0,82.14161,NaN,NaN,NaN
5,0,50,800,200,35000000,225000000,1,0,0,0,100000000,0,100000000,0,0,0,82.14161,0,82.14161,NaN,NaN,NaN
5,0,50,800,200,35000000,250000000,1,0,0,0,100000000,0,100000000,0,0,0,82.14161,0,82.14161,NaN,NaN,NaN
5,0,50,800,200,35000000,275000000,1,0,0,0,100000000,0,100000000,0,0,0,82.14161,0,82.14161,NaN,NaN,NaN
