lambdaBS,lambdaSC,numCPE,lambdaUE,deployRange,GroupCount,mean_max_pow_fac,std_max_pow_fac,median_max_pow_fac,mean_max_FWA,std_max_FWA,median_max_FWA,mean_max_cell_util,std_max_cell_util,median_max_cell_util,mean_max_FWA_util,std_max_FWA_util,median_max_FWA_util
5,0,50,0,200,99,0,0,0,19.7979797979798,1.41406778970226,20,0,0,0,14.769952337715,2.34235219151299,15.1118968952337
5,0,50,250,200,99,0,0,0,19.5959595959596,1.97907003474675,20,32,0,32,14.6417307916325,2.18269130752167,14.6935387158635
5,0,50,500,200,99,0,0,0,19.5959595959596,1.97907003474675,20,63,0,63,14.5481190823518,2.45715513107792,14.2727039179737
5,0,50,750,200,99,0,0,0,19.6969696969697,1.72292196901579,20,95,0,95,15.0910147109161,2.69555365883816,15.3574041067085
5,0,50,1000,200,99,0,0,0,19.6969696969697,1.72292196901579,20,126,0,126,14.5897288037216,2.20170861788456,14.4078060279516
5,0,50,1250,200,99,0,0,0,19.7979797979798,1.41406778970226,20,158,0,158,14.9457436419317,2.54168375757971,15.2608682165155
5,0,50,1500,200,99,0,0,0,19.6969696969697,1.72292196901579,20,189,0,189,15.0381597625976,2.4782486520416,15.0163394833556
5,0,50,1750,200,99,0,0,0,19.6969696969697,1.72292196901579,20,220,0,220,14.518416404631,2.26473311820658,14.5257053000751
5,0,50,2000,200,99,0,0,0,19.7979797979798,1.41406778970226,20,252,0,252,14.4106176176553,2.23703686187631,14.3924185418644
