lambdaBS,lambdaSC,numCPE,lambdaUE,deployRange,GroupCount,mean_max_pow_fac,std_max_pow_fac,median_max_pow_fac,mean_max_FWA,std_max_FWA,median_max_FWA,mean_max_cell_util,std_max_cell_util,median_max_cell_util,mean_max_FWA_util,std_max_FWA_util,median_max_FWA_util
5,0,50,0,200,99,0,0,0,19.5959595959596,1.97907003474675,20,0,0,0,14.0326515315974,2.32871172648724,14.2751189528144
5,0,50,250,200,99,0,0,0,19.4949494949495,2.20099113746947,20,32,0,32,13.8082930756093,2.06333208347894,13.955898536497
5,0,50,500,200,99,0,0,0,19.3939393939394,2.39820588475576,20,63,0,63,13.8275965494425,2.4300724852409,13.4886322060836
5,0,50,750,200,99,0,0,0,19.1919191919192,2.73927134537773,20,95,0,95,14.2635090201356,2.70071589039991,14.6304240992228
5,0,50,1000,200,99,0,0,0,19.6969696969697,1.72292196901579,20,126,0,126,13.8865089696108,2.36614838413169,13.9025690221058
5,0,50,1250,200,99,0,0,0,19.2929292929293,2.57639411538814,20,158,0,158,13.9981848884888,2.5827227846777,14.3361229973642
5,0,50,1500,200,99,0,0,0,19.3939393939394,2.39820588475577,20,189,0,189,13.9439796135117,2.56897734234028,13.9787724455936
5,0,50,1750,200,99,0,0,0,19.2929292929293,2.57639411538814,20,220,0,220,13.5616847661898,2.27037165930815,13.8599522572433
5,0,50,2000,200,99,0,0,0,19.1919191919192,2.73927134537773,20,252,0,252,13.2678167124001,2.20444840657103,12.9213893200225
