lambdaBS,numCPE,lambdaUE,deployRange,GroupCount,mean_mean_rate_FWA,std_mean_rate_FWA,median_mean_rate_FWA,mean_mean_rate_cell,std_mean_rate_cell,median_mean_rate_cell
20,10,100,200,100,132465348.735287,614765348.278192,7493.122983,7671320.83366533,10544494.7089492,1906467.3110625
20,20,100,200,100,74830872.6046662,226418317.359876,4237338.302688,10000720.5776489,10377021.2178754,2518279.0080565
20,30,100,200,100,108853137.827822,210294177.890135,18520718.1765345,10043762.9319343,10132308.4715419,2450979.1537645
20,40,100,200,100,61547186.7288656,110718109.934918,21389607.6210365,10177301.3401546,10184438.0806712,3041115.133895
20,50,100,200,100,57678340.2744038,103017084.542086,23268808.911272,9875818.32543883,9186996.11976254,7715817.68844
