lambdaBS,numCPE,lambdaUE,deployRange,GroupCount,mean_mean_rate_FWA,std_mean_rate_FWA,median_mean_rate_FWA,mean_mean_rate_cell,std_mean_rate_cell,median_mean_rate_cell
10,10,50,200,100,139833634.433204,381099050.454295,4122405.755591,15627910.0510553,15418313.1139026,5606206.3809955
10,20,50,200,100,110466825.049653,201914956.583402,24054401.9913565,16056427.8457663,14863068.7039026,5412075.8046125
10,30,50,200,100,70496252.0919926,141270973.707736,25699604.317529,19594168.0722211,13494464.5716286,25854317.3569115
10,40,50,200,100,41855175.5324863,52400678.9718925,26475830.7954555,18000213.7103356,13029103.1302395,23759766.2794265
10,50,50,200,100,50763068.9137091,70524807.840239,28618190.9536815,18252062.3552082,12222783.7032846,23774321.995552
