UEIdx,lambdaBS,lambdaUE,deployRange,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_mean_rate_before_handoff_affected,std_mean_rate_before_handoff_affected,median_mean_rate_before_handoff_affected,mean_mean_rate_after_handoff_affected,std_mean_rate_after_handoff_affected,median_mean_rate_after_handoff_affected,mean_mean_rate_before_handoff_not_affected,std_mean_rate_before_handoff_not_affected,median_mean_rate_before_handoff_not_affected,mean_mean_rate_after_handoff_not_affected,std_mean_rate_after_handoff_not_affected,median_mean_rate_after_handoff_not_affected,mean_rate_after_handoff_fr2,std_rate_after_handoff_fr2,median_rate_after_handoff_fr2
1,5,250,300,400000000,1,0.1,79,82533918.5038711,5032865.06958966,82905621.9609345,54603022.6915215,6904101.92369325,55082281.2764322,84280505.576702,6612419.45074747,84346186.2729043,86430654.1272103,6470438.12077878,87097182.6150662,1677787851.41336,1180597075.42037,1508873333.17958
1,5,250,300,400000000,10,0.1,79,82695830.430741,6771435.40280647,83689018.2792495,53046438.886495,8541038.14519607,52614500.7795846,83509488.3050108,5512681.74507571,83842369.04257,84521729.2401552,5594715.9662574,85437132.432918,1289287686.05354,1029651862.47451,1072006495.01355
1,5,250,300,400000000,100,0.1,79,82044704.9723831,5067163.11080345,82632290.5300298,54742377.1526601,7158828.37121604,54077547.1422424,84836595.3793965,6761432.33429415,85736032.4205161,87069916.9864895,6131666.44062617,87410774.711527,2357069766.11439,1302227782.83978,2192155705.79686
