eps,activity,f_FWA,f_cell_rep,f_cell_plain
0.01,0.05,0.858415930764441,0.397846308602965,0.397846308602965
0.02,0.05,0.87054085748642,0.443087129394339,0.443087129394339
0.03,0.05,0.882665784208399,0.471277185965411,0.471277185965411
0.04,0.05,0.889618051309525,0.492114474913792,0.492114474913792
0.05,0.05,0.89657031841065,0.509814093314832,0.509814093314832
0.06,0.05,0.901609624105129,0.525308498271942,0.525308498271942
0.07,0.05,0.906648929799607,0.539581199134906,0.539581199134906
0.08,0.05,0.910747716448667,0.552468739382675,0.552468739382675
0.09,0.05,0.914846503097728,0.564442305875879,0.564442305875879
0.1,0.05,0.918268795564289,0.575720164713379,0.575720164713379
0.11,0.05,0.921691088030851,0.58676167911902,0.58676167911902
0.12,0.05,0.924858009111078,0.597547483019552,0.597547483019552
0.13,0.05,0.928024930191305,0.607772421456719,0.607772421456719
0.14,0.05,0.930805979879202,0.617442340110131,0.617442340110131
0.15,0.05,0.933587029567098,0.626837959370399,0.626837959370399
0.16,0.05,0.936126753920441,0.636196592605944,0.636196592605944
0.17,0.05,0.938666478273784,0.64516553105149,0.64516553105149
0.18,0.05,0.941038808667478,0.653967160045324,0.653967160045324
0.19,0.05,0.943411139061173,0.662739163759072,0.662739163759072
0.2,0.05,0.945640120015796,0.671488034975315,0.671488034975315
