eps,activity,f_FWA,f_cell_rep,f_cell_plain
0.01,0.05,0.872404780759975,0.363673963265446,0.363673963265446
0.02,0.05,0.883183676126812,0.407351461532512,0.407351461532512
0.03,0.05,0.89396257149365,0.433148989553602,0.433148989553602
0.04,0.05,0.90025645009823,0.4537413219365,0.4537413219365
0.05,0.05,0.906550328702811,0.471574773301175,0.471574773301175
0.06,0.05,0.910996125788018,0.486994474659456,0.486994474659456
0.07,0.05,0.915441922873225,0.501035573574056,0.501035573574056
0.08,0.05,0.91915586450833,0.514032611795393,0.514032611795393
0.09,0.05,0.922869806143436,0.52593008057496,0.52593008057496
0.1,0.05,0.926013639953639,0.537015871685543,0.537015871685543
0.11,0.05,0.929157473763842,0.547946687172417,0.547946687172417
0.12,0.05,0.931971814523799,0.558681323699028,0.558681323699028
0.13,0.05,0.934786155283757,0.568937023075973,0.568937023075973
0.14,0.05,0.937257800485211,0.578967889703281,0.578967889703281
0.15,0.05,0.939729445686665,0.588953328783541,0.588953328783541
0.16,0.05,0.942050904337063,0.598799180260983,0.598799180260983
0.17,0.05,0.94437236298746,0.608201177851746,0.608201177851746
0.18,0.05,0.946502738941231,0.617278344107445,0.617278344107445
0.19,0.05,0.948633114895003,0.626251110585499,0.626251110585499
0.2,0.05,0.950670656063912,0.634697753077731,0.634697753077731
